longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.6392,28.6827,757.52,88.33,1.46,0.38,152,Semi,0.33,False,-107.0,7.25,-40.660000000000004
-79.5307,28.6659,792.27,96.67,1.46,0.38,154,Semi,0.33,False,-109.0,7.25,-41.42
-79.4223,28.6491,820.69,103.42,1.46,0.38,155,Semi,0.33,False,-111.0,7.25,-42.18
-79.314,28.6321,828.09,107.94,1.46,0.37,157,Semi,0.33,False,-113.0,7.25,-41.81
-79.2056,28.615,834.75,112.44,1.51,0.38,158,Semi,0.33,False,-113.0,7.25,-42.94
-79.0974,28.5978,832.60,116.65,1.52,0.37,159,Semi,0.33,False,-115.0,7.25,-42.55
-78.9892,28.5805,833.54,120.69,1.52,0.37,159,Semi,0.33,False,-115.0,7.25,-42.55
-78.881,28.5631,848.81,124.92,1.52,0.38,160,Semi,0.33,False,-116.0,7.25,-44.08
-78.7728,28.5456,872.96,130.62,1.53,0.37,162,Semi,0.33,False,-117.0,7.25,-43.29
-78.6648,28.528,903.78,136.64,1.56,0.38,163,Semi,0.33,False,-119.0,7.25,-45.22
-78.5567,28.5102,928.34,142.98,1.56,0.37,165,Semi,0.33,False,-120.0,7.25,-44.4
-78.4487,28.4924,952.10,150.29,1.56,0.38,166,Semi,0.33,False,-121.0,7.25,-45.980000000000004
-78.3408,28.4744,976.12,157.68,1.56,0.38,167,Semi,0.33,False,-123.0,7.25,-46.74
-78.2329,28.4563,992.61,165.47,1.59,0.37,169,Semi,0.33,False,-124.0,7.25,-45.88
-80.6844,28.9346,18.07,24.93,0.94,0.36,125,Monopile,0.22,True,-81.0,6.75,-29.16
-80.5977,28.9303,19.24,31.36,0.94,0.36,127,Monopile,0.28,True,-83.0,6.75,-29.88
-80.4903,28.9088,20.98,36.31,0.94,0.37,128,Monopile,0.28,True,-83.0,7.25,-30.71
-80.3814,28.8929,26.20,41.51,0.94,0.37,129,Jacket,0.28,True,-85.0,7.25,-31.45
-80.2725,28.8769,39.17,48.96,1.08,0.37,136,Jacket,0.28,True,-92.0,7.25,-34.04
-80.1637,28.8608,59.29,57.77,1.41,0.37,139,Semi,0.28,False,-95.0,7.25,-35.15
-80.055,28.8446,129.76,66.41,1.41,0.37,139,Semi,0.28,False,-95.0,7.25,-35.15
-79.9462,28.8283,282.69,73.43,1.41,0.38,140,Semi,0.28,False,-96.0,7.25,-36.480000000000004
-79.8375,28.8119,446.17,80.04,1.41,0.39,141,Semi,0.28,False,-97.0,7.25,-37.83
-79.7289,28.7953,678.09,86.99,1.46,0.39,146,Semi,0.28,False,-102.0,7.25,-39.78
-79.6203,28.7787,779.31,95.13,1.48,0.38,152,Semi,0.33,False,-108.0,7.25,-41.04
-79.5117,28.7619,803.82,103.35,1.48,0.38,155,Semi,0.33,False,-111.0,7.25,-42.18
-79.4032,28.745,812.14,110.57,1.47,0.38,156,Semi,0.33,False,-112.0,7.25,-42.56
-79.2947,28.728,821.71,116.36,1.47,0.38,157,Semi,0.33,False,-113.0,7.25,-42.94
-79.1863,28.7109,826.88,122.12,1.52,0.38,159,Semi,0.33,False,-114.0,7.25,-43.32
-79.0779,28.6937,821.75,126.61,1.52,0.38,159,Semi,0.33,False,-115.0,7.25,-43.7
-78.9696,28.6764,827.13,130.42,1.52,0.38,160,Semi,0.33,False,-115.0,7.25,-43.7
-78.8613,28.659,848.75,134.4,1.52,0.38,161,Semi,0.33,False,-116.0,7.25,-44.08
-78.753,28.6415,873.48,139.72,1.54,0.38,162,Semi,0.33,False,-118.0,7.25,-44.84
-78.6448,28.6238,898.31,145.34,1.56,0.38,164,Semi,0.33,False,-119.0,7.25,-45.22
-78.5366,28.6061,922.22,151.29,1.56,0.38,165,Semi,0.33,False,-121.0,7.25,-45.980000000000004
-78.4285,28.5882,944.75,158.22,1.56,0.38,166,Semi,0.33,False,-122.0,7.25,-46.36
-78.3204,28.5702,964.96,165.23,1.56,0.38,167,Semi,0.33,False,-123.0,7.25,-46.74
-78.2124,28.5521,985.00,172.66,1.59,0.37,169,Semi,0.33,False,-125.0,7.25,-46.25
-80.6645,29.0326,19.37,25.45,0.94,0.36,126,Monopile,0.28,True,-81.0,6.75,-29.16
-80.5814,29.0207,20.05,32.31,0.94,0.36,126,Monopile,0.28,True,-82.0,7.25,-29.52
-80.4724,29.0049,23.02,39.64,0.94,0.37,128,Monopile,0.28,True,-84.0,7.25,-31.08
-80.3633,28.989,30.41,46.96,0.94,0.38,131,Jacket,0.28,True,-86.0,7.25,-32.68
-80.2543,28.973,44.37,55.27,1.16,0.38,134,Semi,0.28,False,-90.0,7.25,-34.2
-80.1454,28.9569,71.52,64.16,1.41,0.37,138,Semi,0.28,False,-94.0,7.25,-34.78
-80.0365,28.9406,183.74,72.92,1.41,0.38,140,Semi,0.28,False,-95.0,7.25,-36.1
-79.9277,28.9243,355.96,80.5,1.41,0.38,141,Semi,0.28,False,-97.0,7.25,-36.86
-79.8188,28.9079,548.20,87.78,1.41,0.38,145,Semi,0.28,False,-101.0,7.25,-38.38
-79.7101,28.8913,730.90,95.15,1.48,0.39,149,Semi,0.33,False,-105.0,7.25,-40.95
-79.6013,28.8746,783.82,102.82,1.49,0.39,151,Semi,0.33,False,-107.0,7.25,-41.730000000000004
-79.4927,28.8578,797.25,110.52,1.49,0.38,155,Semi,0.33,False,-111.0,7.25,-42.18
-79.384,28.841,800.72,117.82,1.49,0.38,157,Semi,0.33,False,-113.0,7.25,-42.94
-79.2754,28.824,810.08,124.57,1.5,0.38,158,Semi,0.33,False,-114.0,7.25,-43.32
-79.1669,28.8068,813.89,131.27,1.54,0.38,159,Semi,0.33,False,-115.0,7.25,-43.7
-79.0584,28.7896,811.97,136.17,1.54,0.38,160,Semi,0.33,False,-116.0,7.25,-44.08
-78.9499,28.7723,823.62,140.11,1.53,0.38,161,Semi,0.33,False,-116.0,7.25,-44.08
-78.8415,28.7549,846.49,144.17,1.53,0.38,162,Semi,0.33,False,-117.0,7.25,-44.46
-78.7331,28.7373,869.35,149.24,1.55,0.38,163,Semi,0.33,False,-119.0,7.25,-45.22
-78.6248,28.7196,892.08,154.54,1.56,0.37,164,Semi,0.33,False,-120.0,7.25,-44.4
-78.5165,28.7019,913.92,160.15,1.56,0.38,165,Semi,0.33,False,-121.0,7.25,-45.980000000000004
-78.4083,28.684,935.43,166.75,1.56,0.38,167,Semi,0.33,False,-122.0,7.25,-46.36
-78.3001,28.666,955.48,173.42,1.56,0.38,168,Semi,0.33,False,-124.0,7.25,-47.12
-78.1919,28.6479,975.52,180.54,1.6,0.37,169,Semi,0.33,False,-125.0,7.25,-46.25
-78.0856,28.6312,996.30,188.15,1.6,0.37,171,Semi,0.33,False,-126.0,7.25,-46.62
-80.6537,29.1325,22.75,24.71,0.94,0.36,127,Monopile,0.28,True,-82.0,6.75,-29.52
-80.5635,29.1167,24.92,33.2,0.94,0.37,129,Monopile,0.28,True,-84.0,7.25,-31.08
-80.4544,29.1009,28.24,42.82,0.94,0.37,131,Jacket,0.28,True,-86.0,7.25,-31.82
-80.3452,29.085,33.60,52.42,0.94,0.38,132,Jacket,0.28,True,-88.0,7.25,-33.44
-80.2361,29.069,50.83,61.6,1.24,0.38,134,Semi,0.28,False,-90.0,7.25,-34.2
-80.127,29.0529,97.39,70.51,1.41,0.38,137,Semi,0.28,False,-93.0,7.25,-35.34
-80.018,29.0366,262.40,79.36,1.41,0.38,139,Semi,0.28,False,-95.0,7.25,-36.1
-79.9091,29.0203,470.23,87.53,1.41,0.38,143,Semi,0.28,False,-99.0,7.25,-37.62
-79.8001,29.0038,654.40,95.54,1.41,0.38,148,Semi,0.33,False,-104.0,7.25,-39.52
-79.6912,28.9873,736.47,103.37,1.49,0.38,151,Semi,0.33,False,-107.0,7.25,-40.660000000000004
-79.5824,28.9706,766.92,110.57,1.49,0.39,152,Semi,0.33,False,-108.0,7.25,-42.120000000000005
-79.4736,28.9538,787.87,117.71,1.49,0.39,153,Semi,0.33,False,-109.0,7.25,-42.51
-79.3648,28.9369,798.55,125.08,1.49,0.38,156,Semi,0.33,False,-112.0,7.25,-42.56
-79.2561,28.9199,803.06,132.77,1.51,0.38,159,Semi,0.33,False,-115.0,7.25,-43.7
