wfarm_id,Longitude,Latitude,reeds_region,Depth,Dist_S_to_L,Hs_Average,NCF,LCOE,type_min_lcoe,capacity,isfixed,State,LACE,Net value,Wind speed
4711,-69.4927,43.6805,356,103.98,17.70,1.05,0.56,85,Semi,0.22,FALSE,Maine,93,8,9.0 - 9.5
4819,-67.8449,43.9350,356,169.22,46.37,1.17,0.60,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
4699,-68.3735,43.3436,356,171.66,56.19,1.31,0.62,85,Semi,0.28,FALSE,Maine,93,8,10.0 - 10.5
4651,-69.3462,43.3487,356,167.23,43.71,1.05,0.60,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
4721,-68.2071,43.4083,356,181.84,53.35,1.38,0.62,85,Semi,0.28,FALSE,Maine,93,8,10.0 - 10.5
3656,-71.3063,41.0460,345,43.43,11.01,1.26,0.57,85,Semi,0.28,FALSE,Rhode Island,104,19,9.0 - 9.5
3574,-71.8717,40.9576,342,29.85,2.55,0.84,0.57,85,Jacket,0.22,TRUE,New York,86,1,9.0 - 9.5
4775,-67.9625,43.6577,356,204.62,48.23,1.39,0.61,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
4833,-67.8055,44.0274,356,141.92,43.81,1.18,0.60,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
3695,-71.2730,41.1391,345,42.17,9.44,1.28,0.56,85,Semi,0.28,FALSE,Rhode Island,104,18,9.0 - 9.5
3617,-71.3394,40.9530,345,50.60,11.01,1.25,0.57,85,Semi,0.28,FALSE,Rhode Island,104,18,9.0 - 9.5
7812,-86.3371,43.1494,212,22.23,3.19,0.61,0.51,85,Jacket,0.22,TRUE,Michigan,58,-27,8.5 - 9.0
3700,-70.6487,41.0137,349,45.94,0.90,1.39,0.57,85,Semi,0.28,FALSE,Massachusetts,93,8,9.0 - 9.5
3702,-70.3996,40.9627,349,42.16,4.24,1.39,0.58,85,Semi,0.28,FALSE,Massachusetts,93,8,9.0 - 9.5
3846,-70.7623,41.4351,349,17.40,0.00,0.51,0.52,85,Monopile,0.19,TRUE,Massachusetts,93,8,8.5 - 9.0
4799,-68.6624,44.0062,356,51.50,8.72,0.94,0.55,85,Semi,0.22,FALSE,Maine,93,8,9.0 - 9.5
2188,-75.8140,35.1556,294,8.50,2.00,0.91,0.49,85,Monopile,0.22,TRUE,North Carolina,40,-45,8.0 - 8.5
4650,-69.4746,43.3753,356,166.40,40.31,1.05,0.59,85,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
7466,-87.5399,41.7903,206,6.63,1.54,0.40,0.50,85,Monopile,0.22,TRUE,Illinois,57,-28,7.0 - 7.5
4653,-69.0896,43.2950,356,156.79,51.59,1.20,0.61,85,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
2889,-74.6063,38.9859,332,13.22,2.72,0.95,0.50,85,Monopile,0.22,TRUE,New Jersey,75,-10,8.0 - 8.5
4759,-68.0015,43.5652,356,207.99,51.59,1.39,0.61,85,Semi,0.28,FALSE,Maine,93,7,10.0 - 10.5
3575,-71.7468,40.9334,342,48.03,2.27,1.05,0.57,85,Semi,0.28,FALSE,New York,86,1,9.0 - 9.5
4652,-69.2179,43.3219,356,159.22,47.45,1.16,0.60,85,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
4876,-67.3006,44.2215,356,193.06,44.44,1.17,0.60,85,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
5158,-97.2866,26.8149,174,16.61,37.25,1.20,0.53,85,Monopile,0.19,TRUE,Texas,50,-36,8.5 - 9.0
4768,-68.8627,43.8512,356,42.60,27.15,0.54,0.59,86,Jacket,0.19,TRUE,Maine,93,7,9.0 - 9.5
3779,-70.0813,41.0966,349,21.55,11.46,1.42,0.58,86,Monopile,0.28,TRUE,Massachusetts,93,7,9.5 - 10.0
3701,-70.5241,40.9882,349,45.88,2.43,1.39,0.57,86,Semi,0.28,FALSE,Massachusetts,93,7,9.0 - 9.5
4033,-70.2125,41.8237,349,15.78,5.48,0.75,0.53,86,Monopile,0.19,TRUE,Massachusetts,93,8,8.5 - 9.0
4846,-67.8953,44.1481,356,94.97,33.42,1.17,0.58,86,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
4000,-69.8706,41.6529,349,18.26,19.35,0.70,0.57,86,Monopile,0.22,TRUE,Massachusetts,93,7,9.0 - 9.5
7539,-81.8153,41.5689,234,15.95,0.40,0.47,0.47,86,Monopile,0.22,TRUE,Ohio,55,-31,8.0 - 8.5
3450,-72.5851,40.7867,342,15.53,2.77,0.44,0.53,86,Monopile,0.22,TRUE,New York,87,1,8.5 - 9.0
7493,-87.5391,41.9769,206,14.60,1.59,0.48,0.52,86,Monopile,0.22,TRUE,Illinois,57,-29,7.5 - 8.0
4874,-67.5572,44.2763,356,116.67,36.05,0.83,0.59,86,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
4654,-68.9615,43.2679,356,150.89,57.67,1.24,0.61,86,Semi,0.28,FALSE,Maine,93,7,9.5 - 10.0
4690,-69.5297,43.5876,356,130.38,23.74,1.05,0.57,86,Semi,0.28,FALSE,Maine,93,7,9.0 - 9.5
3576,-71.6219,40.9090,345,52.06,1.50,1.25,0.57,86,Semi,0.28,FALSE,Rhode Island,104,18,9.0 - 9.5
